"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","reactionTime","outcomeEstimate1","outcomeEstimate2","outcomeEstimate3"
59,19,25,45,80,0.31,0.32,0.37,25,0.31,29995,8,5,1
1,13,30,50,95,0.31,0.25,0.44,30,0.31,16790,9,1,1
16,40,0,40,95,0.27,0.38,0.35,0,0.27,18826,9,3,1
112,50,50,75,90,0.32,0.5,0.18,75,0.5,28886,8,4,1
29,3,0,30,60,0.41,0.37,0.22,60,0.22,22605,1,5,9
115,14,30,50,95,0.33,0.29,0.38,50,0.29,11218,3,6,8
38,38,20,50,90,0.3,0.18,0.52,50,0.18,19820,8,6,2
39,37,20,50,90,0.28,0.19,0.53,20,0.28,18075,8,4,1
13,10,20,45,70,0.43,0.39,0.18,20,0.43,25129,4,8,1
33,5,10,35,75,0.515,0.3,0.185,35,0.3,14057,4,7,1
24,22,20,60,90,0.32,0.16,0.52,20,0.32,10862,9,1,1
48,7,15,70,80,0.47,0.28,0.25,15,0.47,29370,9,2,2
71,18,25,60,100,0.43,0.35,0.22,100,0.22,17769,1,1,9
28,47,55,70,85,0.28,0.51,0.21,70,0.51,38579,3,7,5
99,27,15,50,75,0.25,0.38,0.37,75,0.37,19898,1,9,6
44,41,0,40,95,0.27,0.4,0.33,40,0.4,37424,3,6,4
104,34,30,50,90,0.43,0.23,0.34,30,0.43,36457,6,4,2
34,47,55,70,85,0.28,0.51,0.21,70,0.51,66815,7,6,3
41,20,25,45,80,0.26,0.32,0.42,45,0.32,11385,4,8,1
72,41,0,40,95,0.27,0.4,0.33,40,0.4,17119,3,9,1
87,15,30,50,95,0.3,0.3,0.4,95,0.4,23176,3,8,7
43,21,25,45,80,0.3,0.3,0.4,80,0.4,37036,1,2,9
93,16,25,60,100,0.45,0.37,0.18,25,0.45,30856,8,5,2
53,41,0,40,95,0.27,0.4,0.33,40,0.4,8356,3,8,7
47,22,20,60,90,0.32,0.16,0.52,20,0.32,17757,9,1,1
106,45,10,50,75,0.6,0.24,0.16,75,0.16,56963,8,2,1
67,18,25,60,100,0.43,0.35,0.22,100,0.22,24167,1,4,7
122,28,40,65,100,0.36,0.4,0.24,40,0.36,8147,8,3,2
81,45,10,50,75,0.6,0.24,0.16,75,0.16,1242726,5,6,7
22,39,20,50,90,0.32,0.18,0.5,90,0.5,32946,1,1,9
69,21,25,45,80,0.3,0.3,0.4,80,0.4,17846,1,1,7
56,7,15,70,80,0.47,0.28,0.25,15,0.47,22602,9,3,1
35,13,30,50,95,0.31,0.25,0.44,30,0.31,44319,9,3,1
50,42,0,40,95,0.26,0.42,0.32,95,0.32,21695,1,5,8
114,5,10,35,75,0.515,0.3,0.185,35,0.3,12597,4,6,1
2,47,55,70,85,0.28,0.51,0.21,70,0.51,42648,1,9,7
27,7,15,70,80,0.47,0.28,0.25,15,0.47,30784,7,8,1
76,36,30,50,90,0.39,0.25,0.36,90,0.36,40230,8,5,4
23,17,25,60,100,0.42,0.38,0.2,60,0.38,10400,3,9,1
96,29,40,65,100,0.38,0.34,0.28,65,0.34,61021,8,7,5
52,14,30,50,95,0.33,0.29,0.38,50,0.29,16527,9,5,1
95,42,0,40,95,0.26,0.42,0.32,95,0.32,10881,1,5,9
49,16,25,60,100,0.45,0.37,0.18,25,0.45,12838,9,6,1
15,28,40,65,100,0.36,0.4,0.24,40,0.36,21221,6,8,4
20,22,20,60,90,0.32,0.16,0.52,20,0.32,14370,8,5,1
88,31,45,60,90,0.54,0.3,0.16,45,0.54,14160,8,5,1
55,16,25,60,100,0.45,0.37,0.18,25,0.45,23867,7,6,2
58,10,20,45,70,0.43,0.39,0.18,20,0.43,116350,7,4,1
90,47,55,70,85,0.28,0.51,0.21,70,0.51,31916,8,4,3
105,28,40,65,100,0.36,0.4,0.24,40,0.36,23509,9,5,2
7,13,30,50,95,0.31,0.25,0.44,30,0.31,17892,6,4,1
46,14,30,50,95,0.33,0.29,0.38,50,0.29,11982,8,6,2
89,3,0,30,60,0.41,0.37,0.22,60,0.22,23107,2,5,9
63,6,10,35,75,0.5,0.32,0.18,75,0.18,32990,1,5,9
14,35,30,50,90,0.41,0.24,0.35,50,0.24,10654,1,3,9
4,39,20,50,90,0.32,0.18,0.5,90,0.5,20988,1,9,5
92,19,25,45,80,0.31,0.32,0.37,25,0.31,21292,3,7,3
84,32,45,60,90,0.52,0.29,0.19,60,0.29,18661,9,3,1
91,15,30,50,95,0.3,0.3,0.4,95,0.4,35893,1,3,9
119,13,30,50,95,0.31,0.25,0.44,30,0.31,6561,7,4,2
21,16,25,60,100,0.45,0.37,0.18,25,0.45,28419,9,2,1
116,13,30,50,95,0.31,0.25,0.44,30,0.31,28839,4,8,5
101,3,0,30,60,0.41,0.37,0.22,60,0.22,39943,1,1,9
100,2,0,30,60,0.42,0.31,0.27,30,0.31,25411,5,9,5
68,42,0,40,95,0.26,0.42,0.32,95,0.32,59037,1,8,3
73,3,0,30,60,0.41,0.37,0.22,60,0.22,18005,1,5,9
12,1,0,30,60,0.38,0.36,0.26,0,0.38,15294,9,1,1
77,36,30,50,90,0.39,0.25,0.36,90,0.36,15471,1,1,9
97,21,25,45,80,0.3,0.3,0.4,80,0.4,31829,3,8,6
74,31,45,60,90,0.54,0.3,0.16,45,0.54,37401,9,5,1
111,39,20,50,90,0.32,0.18,0.5,90,0.5,30674,9,1,1
102,34,30,50,90,0.43,0.23,0.34,30,0.43,34591,1,8,5
5,24,20,60,90,0.33,0.2,0.47,90,0.47,9612,4,4,5
113,40,0,40,95,0.27,0.38,0.35,0,0.27,32382,9,1,1
94,1,0,30,60,0.38,0.36,0.26,0,0.38,23626,8,1,1
42,11,20,45,70,0.41,0.35,0.24,45,0.35,24557,8,3,1
62,8,15,70,80,0.49,0.27,0.24,70,0.27,20516,8,9,6
18,25,15,50,75,0.21,0.36,0.43,15,0.21,30702,8,3,1
117,45,10,50,75,0.6,0.24,0.16,75,0.16,62584,1,7,8
79,30,40,65,100,0.37,0.32,0.31,100,0.31,25806,9,1,1
83,28,40,65,100,0.36,0.4,0.24,40,0.36,31747,1,9,1
30,13,30,50,95,0.31,0.25,0.44,30,0.31,16708,8,5,1
32,49,50,75,90,0.3,0.52,0.18,50,0.3,17931,7,2,2
31,33,45,60,90,0.5,0.3,0.2,90,0.2,12396,1,3,9
121,37,20,50,90,0.28,0.19,0.53,20,0.28,28142,9,4,1
70,42,0,40,95,0.26,0.42,0.32,95,0.32,20638,2,8,8
103,3,0,30,60,0.41,0.37,0.22,60,0.22,13614,1,1,9
110,44,10,50,75,0.58,0.24,0.18,50,0.24,20764,1,5,9
11,42,0,40,95,0.26,0.42,0.32,95,0.32,31617,1,5,7
45,44,10,50,75,0.58,0.24,0.18,50,0.24,23528,6,8,1
54,47,55,70,85,0.28,0.51,0.21,70,0.51,27864,3,5,8
86,21,25,45,80,0.3,0.3,0.4,80,0.4,18062,3,7,9
26,48,55,70,85,0.25,0.52,0.23,85,0.23,6936,6,9,6
118,43,10,50,75,0.55,0.28,0.17,10,0.55,11189,8,3,2
66,20,25,45,80,0.26,0.32,0.42,45,0.32,28457,2,7,4
51,23,20,60,90,0.34,0.22,0.44,60,0.22,23315,7,7,2
120,27,15,50,75,0.25,0.38,0.37,75,0.37,29812,1,7,9
78,12,20,45,70,0.4,0.34,0.26,70,0.26,27564,3,8,3
8,25,15,50,75,0.21,0.36,0.43,15,0.21,17970,2,8,2
57,1,0,30,60,0.38,0.36,0.26,0,0.38,14974,8,4,1
17,34,30,50,90,0.43,0.23,0.34,30,0.43,13884,8,7,2
108,25,15,50,75,0.21,0.36,0.43,15,0.21,18243,9,5,1
64,2,0,30,60,0.42,0.31,0.27,30,0.31,21547,6,8,3
25,14,30,50,95,0.33,0.29,0.38,50,0.29,25571,7,9,4
98,32,45,60,90,0.52,0.29,0.19,60,0.29,16061,3,7,8
19,30,40,65,100,0.37,0.32,0.31,100,0.31,35536,1,5,1
80,31,45,60,90,0.54,0.3,0.16,45,0.54,17872,9,7,1
75,42,0,40,95,0.26,0.42,0.32,95,0.32,23525,2,8,6
10,43,10,50,75,0.55,0.28,0.17,10,0.55,27153,9,5,1
9,29,40,65,100,0.38,0.34,0.28,65,0.34,13383,5,7,6
60,11,20,45,70,0.41,0.35,0.24,45,0.35,14446,8,7,3
109,44,10,50,75,0.58,0.24,0.18,50,0.24,34868,2,7,4
61,8,15,70,80,0.49,0.27,0.24,70,0.27,40130,9,1,1
65,10,20,45,70,0.43,0.39,0.18,20,0.43,15179,9,5,2
107,20,25,45,80,0.26,0.32,0.42,45,0.32,24576,5,8,3
40,40,0,40,95,0.27,0.38,0.35,0,0.27,15041,9,5,1
37,33,45,60,90,0.5,0.3,0.2,90,0.2,20887,5,5,8
3,22,20,60,90,0.32,0.16,0.52,20,0.32,12045,4,8,7
6,33,45,60,90,0.5,0.3,0.2,90,0.2,14520,1,1,9
82,36,30,50,90,0.39,0.25,0.36,90,0.36,18517,3,7,8
36,16,25,60,100,0.45,0.37,0.18,25,0.45,29542,9,2,1
85,48,55,70,85,0.25,0.52,0.23,85,0.23,18825,4,7,1
59,20,25,45,80,0.26,0.32,0.42,45,0.32,22056,2,8,1
1,26,15,50,75,0.24,0.4,0.36,50,0.4,13632,1,1,9
16,29,40,65,100,0.38,0.34,0.28,65,0.34,15128,4,8,1
112,46,55,70,85,0.26,0.53,0.21,55,0.26,33907,8,2,1
29,29,40,65,100,0.38,0.34,0.28,65,0.34,26069,6,8,3
115,20,25,45,80,0.26,0.32,0.42,45,0.32,18115,5,7,1
38,3,0,30,60,0.41,0.37,0.22,60,0.22,12305,1,1,9
39,10,20,45,70,0.43,0.39,0.18,20,0.43,24709,9,4,1
13,2,0,30,60,0.42,0.31,0.27,30,0.31,21821,1,9,4
33,36,30,50,90,0.39,0.25,0.36,90,0.36,15088,2,4,9
24,8,15,70,80,0.49,0.27,0.24,70,0.27,18262,5,6,6
48,22,20,60,90,0.32,0.16,0.52,20,0.32,48386,8,4,2
71,28,40,65,100,0.36,0.4,0.24,40,0.36,25349,7,5,1
28,8,15,70,80,0.49,0.27,0.24,70,0.27,21906,2,5,5
99,22,20,60,90,0.32,0.16,0.52,20,0.32,15941,9,2,1
44,16,25,60,100,0.45,0.37,0.18,25,0.45,53785,7,6,3
104,27,15,50,75,0.25,0.38,0.37,75,0.37,16175,2,5,7
34,17,25,60,100,0.42,0.38,0.2,60,0.38,51549,6,7,4
41,8,15,70,80,0.49,0.27,0.24,70,0.27,15925,1,9,6
72,39,20,50,90,0.32,0.18,0.5,90,0.5,8493,1,1,9
87,19,25,45,80,0.31,0.32,0.37,25,0.31,35414,8,5,1
43,42,0,40,95,0.26,0.42,0.32,95,0.32,16171,1,3,9
93,22,20,60,90,0.32,0.16,0.52,20,0.32,24774,3,6,8
53,9,15,70,80,0.45,0.29,0.26,80,0.26,11071,4,8,7
47,2,0,30,60,0.42,0.31,0.27,30,0.31,21452,1,9,1
106,44,10,50,75,0.58,0.24,0.18,50,0.24,28406,9,3,1
67,23,20,60,90,0.34,0.22,0.44,60,0.22,26054,1,7,5
122,39,20,50,90,0.32,0.18,0.5,90,0.5,23504,4,7,1
81,25,15,50,75,0.21,0.36,0.43,15,0.21,33817,4,5,5
22,14,30,50,95,0.33,0.29,0.38,50,0.29,20836,4,6,2
69,38,20,50,90,0.3,0.18,0.52,50,0.18,30364,1,7,4
56,43,10,50,75,0.55,0.28,0.17,10,0.55,19198,9,4,1
35,18,25,60,100,0.43,0.35,0.22,100,0.22,42510,1,8,5
50,38,20,50,90,0.3,0.18,0.52,50,0.18,57538,8,4,1
114,35,30,50,90,0.41,0.24,0.35,50,0.24,16698,4,7,1
2,49,50,75,90,0.3,0.52,0.18,50,0.3,29901,9,5,1
27,13,30,50,95,0.31,0.25,0.44,30,0.31,20562,9,5,1
76,42,0,40,95,0.26,0.42,0.32,95,0.32,65569,9,3,3
23,9,15,70,80,0.45,0.29,0.26,80,0.26,12580,3,9,8
96,41,0,40,95,0.27,0.4,0.33,40,0.4,116209,1,5,3
52,42,0,40,95,0.26,0.42,0.32,95,0.32,11666,1,6,9
95,11,20,45,70,0.41,0.35,0.24,45,0.35,13486,3,8,5
49,49,50,75,90,0.3,0.52,0.18,50,0.3,17711,9,6,1
15,11,20,45,70,0.41,0.35,0.24,45,0.35,18198,3,9,5
20,11,20,45,70,0.41,0.35,0.24,45,0.35,23635,4,8,1
88,41,0,40,95,0.27,0.4,0.33,40,0.4,17615,1,8,4
55,25,15,50,75,0.21,0.36,0.43,15,0.21,10895,9,3,1
58,44,10,50,75,0.58,0.24,0.18,50,0.24,54542,2,8,2
90,7,15,70,80,0.47,0.28,0.25,15,0.47,11451,9,2,1
105,25,15,50,75,0.21,0.36,0.43,15,0.21,23044,2,6,8
7,1,0,30,60,0.38,0.36,0.26,0,0.38,22119,1,4,1
46,25,15,50,75,0.21,0.36,0.43,15,0.21,9935,9,1,1
89,43,10,50,75,0.55,0.28,0.17,10,0.55,24023,6,5,2
63,31,45,60,90,0.54,0.3,0.16,45,0.54,34182,9,1,1
14,41,0,40,95,0.27,0.4,0.33,40,0.4,10874,1,9,3
4,3,0,30,60,0.41,0.37,0.22,60,0.22,19772,1,4,9
92,20,25,45,80,0.26,0.32,0.42,45,0.32,17621,8,3,5
84,3,0,30,60,0.41,0.37,0.22,60,0.22,11492,1,5,8
91,45,10,50,75,0.6,0.24,0.16,75,0.16,41683,1,5,7
119,12,20,45,70,0.4,0.34,0.26,70,0.26,12060,6,8,2
21,4,10,35,75,0.5,0.31,0.19,10,0.5,26921,7,4,1
116,4,10,35,75,0.5,0.31,0.19,10,0.5,23998,9,5,1
101,12,20,45,70,0.4,0.34,0.26,70,0.26,48297,2,8,4
100,44,10,50,75,0.58,0.24,0.18,50,0.24,15343,2,8,5
68,14,30,50,95,0.33,0.29,0.38,50,0.29,23786,2,8,3
73,40,0,40,95,0.27,0.38,0.35,0,0.27,15826,9,1,1
12,48,55,70,85,0.25,0.52,0.23,85,0.23,53136,3,9,6
77,35,30,50,90,0.41,0.24,0.35,50,0.24,21613,1,6,3
97,18,25,60,100,0.43,0.35,0.22,100,0.22,20326,2,6,9
74,25,15,50,75,0.21,0.36,0.43,15,0.21,50850,8,5,1
111,7,15,70,80,0.47,0.28,0.25,15,0.47,16430,9,1,1
102,46,55,70,85,0.26,0.53,0.21,55,0.26,27563,8,6,2
5,10,20,45,70,0.43,0.39,0.18,20,0.43,43771,1,5,2
113,19,25,45,80,0.31,0.32,0.37,25,0.31,24438,9,5,1
94,3,0,30,60,0.41,0.37,0.22,60,0.22,15607,1,3,9
42,41,0,40,95,0.27,0.4,0.33,40,0.4,19178,1,9,1
62,37,20,50,90,0.28,0.19,0.53,20,0.28,33153,9,5,3
18,42,0,40,95,0.26,0.42,0.32,95,0.32,32296,1,5,9
117,4,10,35,75,0.5,0.31,0.19,10,0.5,32016,8,6,1
79,38,20,50,90,0.3,0.18,0.52,50,0.18,17817,9,2,1
83,37,20,50,90,0.28,0.19,0.53,20,0.28,23325,9,1,1
30,9,15,70,80,0.45,0.29,0.26,80,0.26,10892,3,6,9
32,3,0,30,60,0.41,0.37,0.22,60,0.22,17952,2,2,6
31,44,10,50,75,0.58,0.24,0.18,50,0.24,13292,2,9,5
121,43,10,50,75,0.55,0.28,0.17,10,0.55,16684,9,1,1
70,28,40,65,100,0.36,0.4,0.24,40,0.36,43898,8,8,2
103,12,20,45,70,0.4,0.34,0.26,70,0.26,34862,1,9,1
110,47,55,70,85,0.28,0.51,0.21,70,0.51,19802,1,5,9
11,18,25,60,100,0.43,0.35,0.22,100,0.22,11031,1,3,7
45,37,20,50,90,0.28,0.19,0.53,20,0.28,20313,9,3,1
54,1,0,30,60,0.38,0.36,0.26,0,0.38,21287,8,2,1
86,3,0,30,60,0.41,0.37,0.22,60,0.22,19881,9,2,6
26,8,15,70,80,0.49,0.27,0.24,70,0.27,7910,9,4,3
118,12,20,45,70,0.4,0.34,0.26,70,0.26,9475,5,2,2
66,13,30,50,95,0.31,0.25,0.44,30,0.31,26995,9,5,1
51,21,25,45,80,0.3,0.3,0.4,80,0.4,19755,1,5,8
120,44,10,50,75,0.58,0.24,0.18,50,0.24,39561,1,9,7
78,26,15,50,75,0.24,0.4,0.36,50,0.4,19489,1,9,3
8,49,50,75,90,0.3,0.52,0.18,50,0.3,80323,6,2,2
57,13,30,50,95,0.31,0.25,0.44,30,0.31,19780,8,6,2
17,6,10,35,75,0.5,0.32,0.18,75,0.18,16260,1,7,9
108,6,10,35,75,0.5,0.32,0.18,75,0.18,17150,1,5,8
64,6,10,35,75,0.5,0.32,0.18,75,0.18,13442,2,5,8
25,8,15,70,80,0.49,0.27,0.24,70,0.27,19947,8,8,8
98,15,30,50,95,0.3,0.3,0.4,95,0.4,14504,3,7,9
19,48,55,70,85,0.25,0.52,0.23,85,0.23,24935,1,9,2
80,20,25,45,80,0.26,0.32,0.42,45,0.32,17346,8,7,1
75,32,45,60,90,0.52,0.29,0.19,60,0.29,17777,3,8,4
10,34,30,50,90,0.43,0.23,0.34,30,0.43,30523,7,8,3
9,12,20,45,70,0.4,0.34,0.26,70,0.26,11259,3,5,9
60,29,40,65,100,0.38,0.34,0.28,65,0.34,9183,4,6,8
109,15,30,50,95,0.3,0.3,0.4,95,0.4,33391,2,5,8
61,31,45,60,90,0.54,0.3,0.16,45,0.54,16797,9,5,1
65,24,20,60,90,0.33,0.2,0.47,90,0.47,8302,5,7,8
107,50,50,75,90,0.32,0.5,0.18,75,0.5,19864,5,8,2
40,3,0,30,60,0.41,0.37,0.22,60,0.22,16124,1,5,9
37,45,10,50,75,0.6,0.24,0.16,75,0.16,18632,4,8,8
3,23,20,60,90,0.34,0.22,0.44,60,0.22,16831,3,8,6
6,47,55,70,85,0.28,0.51,0.21,70,0.51,45513,2,8,5
82,11,20,45,70,0.41,0.35,0.24,45,0.35,16321,8,6,1
36,45,10,50,75,0.6,0.24,0.16,75,0.16,26603,3,8,7
85,7,15,70,80,0.47,0.28,0.25,15,0.47,18029,8,4,1
59,5,10,35,75,0.515,0.3,0.185,35,0.3,23475,1,8,2
1,15,30,50,95,0.3,0.3,0.4,95,0.4,9362,1,1,9
16,11,20,45,70,0.41,0.35,0.24,45,0.35,20020,3,7,7
112,41,0,40,95,0.27,0.4,0.33,40,0.4,25831,1,9,1
29,21,25,45,80,0.3,0.3,0.4,80,0.4,19142,3,5,8
115,47,55,70,85,0.28,0.51,0.21,70,0.51,12967,4,7,2
38,5,10,35,75,0.515,0.3,0.185,35,0.3,18365,7,8,2
39,26,15,50,75,0.24,0.4,0.36,50,0.4,19002,4,8,3
13,23,20,60,90,0.34,0.22,0.44,60,0.22,21708,1,8,2
33,34,30,50,90,0.43,0.23,0.34,30,0.43,13465,8,4,2
24,19,25,45,80,0.31,0.32,0.37,25,0.31,12285,7,4,4
48,37,20,50,90,0.28,0.19,0.53,20,0.28,50117,8,2,3
71,27,15,50,75,0.25,0.38,0.37,75,0.37,18612,3,8,5
28,48,55,70,85,0.25,0.52,0.23,85,0.23,24107,3,7,3
99,18,25,60,100,0.43,0.35,0.22,100,0.22,40001,2,3,9
44,3,0,30,60,0.41,0.37,0.22,60,0.22,64224,5,6,2
104,46,55,70,85,0.26,0.53,0.21,55,0.26,22668,6,4,2
34,9,15,70,80,0.45,0.29,0.26,80,0.26,24138,2,6,9
41,25,15,50,75,0.21,0.36,0.43,15,0.21,17259,9,3,1
72,18,25,60,100,0.43,0.35,0.22,100,0.22,17378,3,9,3
87,2,0,30,60,0.42,0.31,0.27,30,0.31,15664,1,9,6
43,23,20,60,90,0.34,0.22,0.44,60,0.22,13436,1,4,7
93,40,0,40,95,0.27,0.38,0.35,0,0.27,28344,9,4,2
53,13,30,50,95,0.31,0.25,0.44,30,0.31,10368,3,1,1
47,3,0,30,60,0.41,0.37,0.22,60,0.22,15539,1,1,9
106,10,20,45,70,0.43,0.39,0.18,20,0.43,33159,9,4,1
67,30,40,65,100,0.37,0.32,0.31,100,0.31,21335,1,4,7
122,27,15,50,75,0.25,0.38,0.37,75,0.37,10235,7,3,2
81,30,40,65,100,0.37,0.32,0.31,100,0.31,15463,8,6,6
22,23,20,60,90,0.34,0.22,0.44,60,0.22,57192,2,5,6
69,28,40,65,100,0.36,0.4,0.24,40,0.36,11192,9,1,1
56,16,25,60,100,0.45,0.37,0.18,25,0.45,38878,8,6,1
35,36,30,50,90,0.39,0.25,0.36,90,0.36,27642,1,5,9
50,20,25,45,80,0.26,0.32,0.42,45,0.32,24606,5,8,1
114,37,20,50,90,0.28,0.19,0.53,20,0.28,8938,8,3,1
2,45,10,50,75,0.6,0.24,0.16,75,0.16,21978,1,7,8
27,42,0,40,95,0.26,0.42,0.32,95,0.32,15235,1,5,9
76,48,55,70,85,0.25,0.52,0.23,85,0.23,53470,9,3,3
23,12,20,45,70,0.4,0.34,0.26,70,0.26,11147,6,9,2
96,30,40,65,100,0.37,0.32,0.31,100,0.31,67081,4,7,3
52,7,15,70,80,0.47,0.28,0.25,15,0.47,14963,9,5,1
95,20,25,45,80,0.26,0.32,0.42,45,0.32,15088,8,4,1
49,4,10,35,75,0.5,0.31,0.19,10,0.5,19948,7,9,1
15,2,0,30,60,0.42,0.31,0.27,30,0.31,14604,1,5,9
20,35,30,50,90,0.41,0.24,0.35,50,0.24,26730,5,8,1
88,44,10,50,75,0.58,0.24,0.18,50,0.24,17138,1,8,5
55,14,30,50,95,0.33,0.29,0.38,50,0.29,26964,7,6,3
58,25,15,50,75,0.21,0.36,0.43,15,0.21,56604,8,5,1
90,32,45,60,90,0.52,0.29,0.19,60,0.29,18405,5,8,2
105,34,30,50,90,0.43,0.23,0.34,30,0.43,16983,7,7,2
7,3,0,30,60,0.41,0.37,0.22,60,0.22,9469,1,1,9
46,15,30,50,95,0.3,0.3,0.4,95,0.4,12262,1,7,9
89,12,20,45,70,0.4,0.34,0.26,70,0.26,26406,1,9,4
63,1,0,30,60,0.38,0.36,0.26,0,0.38,26702,9,2,1
14,3,0,30,60,0.41,0.37,0.22,60,0.22,14993,1,1,9
4,8,15,70,80,0.49,0.27,0.24,70,0.27,20333,9,4,1
92,7,15,70,80,0.47,0.28,0.25,15,0.47,94997,7,3,4
84,47,55,70,85,0.28,0.51,0.21,70,0.51,13959,2,9,1
91,3,0,30,60,0.41,0.37,0.22,60,0.22,33769,1,4,9
119,9,15,70,80,0.45,0.29,0.26,80,0.26,42363,2,3,8
21,7,15,70,80,0.47,0.28,0.25,15,0.47,143363,5,5,5
116,12,20,45,70,0.4,0.34,0.26,70,0.26,73290,2,8,5
101,2,0,30,60,0.42,0.31,0.27,30,0.31,56356,7,5,2
100,47,55,70,85,0.28,0.51,0.21,70,0.51,23558,3,9,4
68,40,0,40,95,0.27,0.38,0.35,0,0.27,19853,9,1,1
73,23,20,60,90,0.34,0.22,0.44,60,0.22,16721,1,9,1
12,17,25,60,100,0.42,0.38,0.2,60,0.38,226385,1,7,8
77,10,20,45,70,0.43,0.39,0.18,20,0.43,14697,2,6,2
97,40,0,40,95,0.27,0.38,0.35,0,0.27,25085,9,4,1
74,15,30,50,95,0.3,0.3,0.4,95,0.4,25302,2,4,9
111,24,20,60,90,0.33,0.2,0.47,90,0.47,26853,1,9,4
102,47,55,70,85,0.28,0.51,0.21,70,0.51,25420,3,9,7
5,31,45,60,90,0.54,0.3,0.16,45,0.54,22424,7,9,1
113,28,40,65,100,0.36,0.4,0.24,40,0.36,43149,5,8,2
94,49,50,75,90,0.3,0.52,0.18,50,0.3,21856,8,3,1
42,26,15,50,75,0.24,0.4,0.36,50,0.4,31423,7,6,1
62,36,30,50,90,0.39,0.25,0.36,90,0.36,22114,9,6,3
18,1,0,30,60,0.38,0.36,0.26,0,0.38,17321,9,2,1
117,7,15,70,80,0.47,0.28,0.25,15,0.47,25712,9,6,1
79,15,30,50,95,0.3,0.3,0.4,95,0.4,15040,2,8,1
83,5,10,35,75,0.515,0.3,0.185,35,0.3,34395,1,9,1
30,45,10,50,75,0.6,0.24,0.16,75,0.16,12683,2,6,8
32,45,10,50,75,0.6,0.24,0.16,75,0.16,20476,2,2,8
31,35,30,50,90,0.41,0.24,0.35,50,0.24,16774,2,8,4
121,9,15,70,80,0.45,0.29,0.26,80,0.26,20097,1,9,9
70,19,25,45,80,0.31,0.32,0.37,25,0.31,27616,7,7,7
103,30,40,65,100,0.37,0.32,0.31,100,0.31,31720,7,7,4
110,22,20,60,90,0.32,0.16,0.52,20,0.32,20248,9,5,1
11,19,25,45,80,0.31,0.32,0.37,25,0.31,28516,8,3,1
45,10,20,45,70,0.43,0.39,0.18,20,0.43,20126,3,8,1
54,36,30,50,90,0.39,0.25,0.36,90,0.36,16925,2,3,9
86,49,50,75,90,0.3,0.52,0.18,50,0.3,22149,8,6,4
26,39,20,50,90,0.32,0.18,0.5,90,0.5,6982,6,2,9
118,47,55,70,85,0.28,0.51,0.21,70,0.51,17109,2,8,2
66,48,55,70,85,0.25,0.52,0.23,85,0.23,26514,5,5,9
51,33,45,60,90,0.5,0.3,0.2,90,0.2,18058,1,4,9
120,36,30,50,90,0.39,0.25,0.36,90,0.36,18023,1,7,9
78,37,20,50,90,0.28,0.19,0.53,20,0.28,24476,9,4,1
8,15,30,50,95,0.3,0.3,0.4,95,0.4,58493,8,2,2
57,44,10,50,75,0.58,0.24,0.18,50,0.24,20673,2,8,5
17,1,0,30,60,0.38,0.36,0.26,0,0.38,10812,9,3,3
108,30,40,65,100,0.37,0.32,0.31,100,0.31,26013,2,8,5
64,8,15,70,80,0.49,0.27,0.24,70,0.27,14601,6,5,2
25,45,10,50,75,0.6,0.24,0.16,75,0.16,15684,4,4,9
98,25,15,50,75,0.21,0.36,0.43,15,0.21,19373,8,4,1
19,44,10,50,75,0.58,0.24,0.18,50,0.24,69811,1,9,7
80,26,15,50,75,0.24,0.4,0.36,50,0.4,14531,3,9,2
75,39,20,50,90,0.32,0.18,0.5,90,0.5,52240,7,4,7
10,13,30,50,95,0.31,0.25,0.44,30,0.31,39916,8,5,2
9,23,20,60,90,0.34,0.22,0.44,60,0.22,17000,4,7,5
60,26,15,50,75,0.24,0.4,0.36,50,0.4,12279,3,5,6
109,5,10,35,75,0.515,0.3,0.185,35,0.3,28981,2,8,2
61,23,20,60,90,0.34,0.22,0.44,60,0.22,12128,1,5,9
65,32,45,60,90,0.52,0.29,0.19,60,0.29,15730,7,4,6
107,23,20,60,90,0.34,0.22,0.44,60,0.22,43682,8,4,1
40,12,20,45,70,0.4,0.34,0.26,70,0.26,23379,2,8,4
37,10,20,45,70,0.43,0.39,0.18,20,0.43,21885,7,6,4
3,6,10,35,75,0.5,0.32,0.18,75,0.18,15884,4,8,9
6,30,40,65,100,0.37,0.32,0.31,100,0.31,20647,3,5,9
82,31,45,60,90,0.54,0.3,0.16,45,0.54,15925,8,5,1
36,8,15,70,80,0.49,0.27,0.24,70,0.27,33348,3,7,2
85,29,40,65,100,0.38,0.34,0.28,65,0.34,21818,7,8,1
59,31,45,60,90,0.54,0.3,0.16,45,0.54,47406,7,6,1
1,4,10,35,75,0.5,0.31,0.19,10,0.5,12790,9,1,1
16,9,15,70,80,0.45,0.29,0.26,80,0.26,12533,1,7,8
112,38,20,50,90,0.3,0.18,0.52,50,0.18,21925,1,9,1
29,8,15,70,80,0.49,0.27,0.24,70,0.27,16040,4,7,2
115,26,15,50,75,0.24,0.4,0.36,50,0.4,11059,1,3,8
38,23,20,60,90,0.34,0.22,0.44,60,0.22,13800,8,6,2
39,13,30,50,95,0.31,0.25,0.44,30,0.31,27251,6,6,1
13,46,55,70,85,0.26,0.53,0.21,55,0.26,20401,8,6,1
33,38,20,50,90,0.3,0.18,0.52,50,0.18,11118,4,7,1
